university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url
Radboud University,Communication and Information Studies: Global Communication and Diversity,MA,22131,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ma-communication-and-information-studies-global-communicatio
KTH Royal Institute of Technology,Communication Systems,Master,,2,N/A,"Stockholm, Sweden",https://www.study.eu/university/kth-royal-institute-of-technology/master-communication-systems
University of Szeged,Comparative Intellectual Property Law,LLM,,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/llm-comparative-intellectual-property-law
TSI Transport and Telecommunication Institute,Computer Science: Artificial Intelligence,Bachelor,30488,4,N/A,"Riga, Latvia",https://www.study.eu/university/tsi-transport-and-telecommunication-institute/bachelor-computer-science-artificial-intelligence
SRH University,Computer Science - Big Data and Artificial Intelligence,MSc,30301,,N/A,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/msc-computer-science-big-data-and-artificial-intelligence
SRH University,Computer Science - Cyber Security,MSc,30301,,N/A,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/msc-computer-science-cyber-security
Radboud University,Computing Science,MSc,46235,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-computing-science
Radboud University,Computing Science,BSc,62651,3,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/bsc-computing-science
Radboud University,Computing Science: Cyber Security,MSc,46235,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-computing-science-cyber-security
Radboud University,Computing Science: Data Science and AI,MSc,46235,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-computing-science-data-science-and-ai
SRH Haarlem University of Applied Sciences,Creative Media,Bachelor,63323,4,N/A,"Haarlem, Netherlands",https://www.study.eu/university/srh-haarlem-university-of-applied-sciences/bachelor-creative-media
Radboud University,Crop Biotechnology and Engineering,MSc,58867,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-crop-biotechnology-and-engineering-5878
Central European University (CEU),"Culture, Politics and Society",BA,42215,3,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ba-culture-politics-and-society
Vilnius University,Data Science,Master,10553,1.5,N/A,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/master-data-science-21857
EURECOM,Data Science and Engineering,MSc,21107,2,N/A,"Sophia Antipolis, France",https://www.study.eu/university/eurecom/msc-data-science-and-engineering
Central European University (CEU),Data Science and Society,BA,42215,3,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ba-data-science-and-society
Modul University Vienna,Data Science for Sustainability (Specializations available),MSc,32834,2,N/A,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/msc-data-science-for-sustainability-specializations-availabl
Vilnius University,Dentistry,B+M,87948,5,N/A,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/b-m-dentistry
SRH University,Digital Supply Chain Management,MSc,30301,,N/A,"Berlin, Germany",https://www.study.eu/university/srh-university/msc-digital-supply-chain-management
SRH Haarlem University of Applied Sciences,Digital Transformation Management,Bachelor,63323,4,N/A,"Haarlem, Netherlands",https://www.study.eu/university/srh-haarlem-university-of-applied-sciences/bachelor-digital-transformation-management
Radboud University,Economics,MSc,22131,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-economics
Radboud University,Economics and Business Economics,BSc,48523,3,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/bsc-economics-and-business-economics-5873
Radboud University,Education in Museums and Heritage,MA,,2,N/A,"Nijmegen, Netherlands + 1 more campus",https://www.study.eu/university/radboud-university/ma-education-in-museums-and-heritage
SRH University,Engineering and Sustainable Technology Management - Mobility and Automotive Industry,MEng,30301,,N/A,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/meng-engineering-and-sustainable-technology-management-mobil
Radboud University,English Language and Culture,BA,48523,3,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ba-english-language-and-culture
Central European University (CEU),Environmental Sciences and Policy,MSc,14071,1,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/msc-environmental-sciences-and-policy
Radboud University,Environment and Society Studies,MSc,29819,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-environment-and-society-studies
Central European University (CEU),European Women's and Gender History,MA,28143,2,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ma-european-women-s-and-gender-history
Central European University (CEU),Finance,MSc,17589,0.83,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/msc-finance-19481
Vytautas Magnus University,Future Media and Journalism,Master,8101,1.5,N/A,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/master-future-media-and-journalism
University of Szeged,Geography,MSc,12664,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-geography-11278
Central European University (CEU),Global Business Law and Regulation,LLM,15244,1,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/llm-global-business-law-and-regulation
Central European University (CEU),Global Comparative Constitutional Studies,LLM,15244,1,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/llm-global-comparative-constitutional-studies
