university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url,clean_degree_type,subject_tag,Value_Tier_Name
University of Greenwich,Education and Training,PhD,65794.0,3.0,762.0,"London, United Kingdom",https://www.study.eu/university/university-of-greenwich/phd-education-and-training,Doctorate,💻 Tech & IT,🟠 Premium Programs
Dublin City University (DCU),Education and Training Management (eLearning),Master,,2.0,582.0,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/education-and-training-management-elearning,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Dublin City University (DCU),Education and Training Management (Leadership),MSc,,2.0,582.0,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/education-and-training-management-leadership,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Oxford Brookes University,Education - Childhood and Youth Studies (MA),MA,,1.0,811.0,"Oxford, United Kingdom",https://www.study.eu/university/oxford-brookes-university/education-childhood-and-youth-studies-ma,Other,📚 General/Other,⚪ Unranked/Missing Data
Dublin City University (DCU),Education - Church of Ireland Pathway (Restricted Entry),Bachelor,,4.0,582.0,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/education-church-of-ireland-pathway-restricted-entry,Bachelor's,📚 General/Other,⚪ Unranked/Missing Data
"Goldsmiths, University of London","Education, Culture and Society",BA (Hons),,3.0,1104.0,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/education-culture-and-society,Other,🎨 Arts & Humanities,⚪ Unranked/Missing Data
University of Southampton,Education Degree,BSc (Hons),,,523.0,"Southampton, United Kingdom",https://www.study.eu/university/university-of-southampton/bsc-hons-education-degree,Bachelor's,📚 General/Other,⚪ Unranked/Missing Data
Atlantic Technological University,"Education (Design, Graphics and Construction)",BSc (Hons),,4.0,2959.0,"Galway, Ireland",https://www.study.eu/university/atlantic-technological-university/bsc-hons-education-design-graphics-and-construction,Bachelor's,🎨 Arts & Humanities,⚪ Unranked/Missing Data
Aberystwyth University,Education/Drama & Theatre,BA (Hons),54896.0,3.0,905.0,"Aberystwyth, United Kingdom",https://www.study.eu/university/aberystwyth-university/education-drama-theatre,Other,📚 General/Other,🟠 Premium Programs
University of Sheffield,Education (Early Childhood),MA,20518.0,1.0,110.0,"Sheffield, United Kingdom",https://www.study.eu/university/university-of-sheffield/education-early-childhood,Other,📚 General/Other,🟢 Budget-Friendly
University of Derby,Education: Early Years (pathway),MA,,1.0,1005.0,"Derby, United Kingdom",https://www.study.eu/university/university-of-derby/education-early-years-pathway,Other,📚 General/Other,⚪ Unranked/Missing Data
Aberystwyth University,Education/Fine Art,BA (Hons),54896.0,3.0,905.0,"Aberystwyth, United Kingdom",https://www.study.eu/university/aberystwyth-university/education-fine-art,Other,🎨 Arts & Humanities,🟠 Premium Programs
Inland Norway University College of Applied Sciences,Education for Diversity and Sustainable Living,Master,,,2154.0,"Lillehammer, Norway",https://www.study.eu/university/inland-norway-university-college-of-applied-sciences/master-education-for-diversity-and-sustainable-living,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
London South Bank University,Education for Sustainability,MSc,,1.0,1082.0,"London, United Kingdom",https://www.study.eu/university/london-south-bank-university/education-for-sustainability,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
University of Sussex,Education (full time),MA,,,269.0,"Brighton, United Kingdom",https://www.study.eu/university/university-of-sussex/ma-education-full-time,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Derby,Education (full-time),MA,,1.0,1005.0,"Derby, United Kingdom",https://www.study.eu/university/university-of-derby/education-full-time,Other,📚 General/Other,⚪ Unranked/Missing Data
University College Cork (UCC),Education Gaeilge,Bachelor,,4.0,360.0,"Cork, Ireland",https://www.study.eu/university/university-college-cork-ucc/education-gaeilge,Bachelor's,📚 General/Other,⚪ Unranked/Missing Data
Dublin City University (DCU),Education - Gaeltacht Applicants Pathway (Restricted Entry),Bachelor,,4.0,582.0,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/education-gaeltacht-applicants-pathway-restricted-entry,Bachelor's,📚 General/Other,⚪ Unranked/Missing Data
Rotterdam University of Applied Sciences,Education in Arts,Master,,,3180.0,"Rotterdam, Netherlands",https://www.study.eu/university/rotterdam-university-of-applied-sciences/master-education-in-arts,Master's,🎨 Arts & Humanities,⚪ Unranked/Missing Data
King's College London,Education in Arts & Cultural Settings,MA,,1.0,42.0,"London, United Kingdom",https://www.study.eu/university/king-s-college-london/education-in-arts-cultural-settings,Other,🎨 Arts & Humanities,⚪ Unranked/Missing Data
Dublin City University (DCU),Education in Autism,MEd,,2.0,582.0,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/education-in-autism,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Hull,"Education, Inclusion and Special Needs",MA,16818.0,1.0,633.0,"Hull, United Kingdom",https://www.study.eu/university/university-of-hull/education-inclusion-and-special-needs,Other,📚 General/Other,🟢 Budget-Friendly
University of Galway,"Education in Design, Learning and Technology",MEd,,2.0,565.0,"Galway, Ireland",https://www.study.eu/university/university-of-galway/education-in-design-learning-and-technology,Other,💻 Tech & IT,⚪ Unranked/Missing Data
