university_name,program_name,degree,tuition_fee_usd_total,program_duration,global_ranking,university_location,url
Vytautas Magnus University,Sociolinguistics and Multilingualism,Master,N/A,2 years (120 ECTS) full-time,N/A,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/master-sociolinguistics-and-multilingualism
Vytautas Magnus University,"Sociology and Anthropology: Society, Culture and Communication",Bachelor,"14,659 USD in total (students from outside EU/EEA)",4 years (240 ECTS) full-time,N/A,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/bachelor-sociology-and-anthropology-society-culture-and-comm
SRH University,Supply Chain Management,MSc,"20,608 USD in total (students from outside EU/EEA)",N/A,N/A,"Berlin, Germany + 3 more campuses",https://www.study.eu/university/srh-university/msc-supply-chain-management-19843
Vytautas Magnus University,Sustainable Engineering,Bachelor,"18,960 USD in total (students from outside EU/EEA)",4 years (240 ECTS) full-time,N/A,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/bachelor-sustainable-engineering
University of Helsinki,Theoretical and Computational Methods,MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-theoretical-and-computational-methods
University of Szeged,Tourism and Catering,BSc,"23,078 USD in total (students from outside EU/EEA)",N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/bsc-tourism-and-catering
University of Helsinki,Translational Medicine,MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS) full-time,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-translational-medicine
University of Helsinki,Urban Studies and Planning,MA,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-urban-studies-and-planning
SRH University,Advertising & Brand Design,BA,"36,257 USD in total (students from outside EU/EEA)",N/A,N/A,"Berlin, Germany",https://www.study.eu/university/srh-university/ba-advertising-brand-design
KTH Royal Institute of Technology,Aerospace Engineering,Master,N/A,2 years (120 ECTS) full-time,N/A,"Stockholm, Sweden",https://www.study.eu/university/kth-royal-institute-of-technology/master-aerospace-engineering-7284
University of Technology Nuremberg,AI & Robotics,MSc,N/A,2 years (120 ECTS) full-time,N/A,"Nuremberg, Germany",https://www.study.eu/university/university-of-technology-nuremberg/msc-ai-robotics
Modul University Vienna,Applied Data Science (Specializations available),BSc,"62,310 USD in total (students from outside EU/EEA)",3 years (180 ECTS) full-time,N/A,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/bsc-applied-data-science-specializations-available
SRH Haarlem University of Applied Sciences,Applied Sustainability Management (Full-time),MSc,"19,039 USD in total (students from outside EU/EEA)",1 year (60 ECTS),N/A,"Haarlem, Netherlands",https://www.study.eu/university/srh-haarlem-university-of-applied-sciences/msc-applied-sustainability-management-full-time
Chalmers University of Technology,Architecture and Planning Beyond Sustainability,MSc,"40,313 USD in total (students from outside EU/EEA)",N/A,N/A,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-architecture-and-planning-beyond-sustainability
SRH University,Artificial Intelligence (AI) in Business,MSc,"22,099 USD in total (students from outside EU/EEA)",N/A,N/A,"Berlin, Germany",https://www.study.eu/university/srh-university/msc-artificial-intelligence-ai-in-business
TSI Transport and Telecommunication Institute,Aviation Engineering,BEng,"18,000 USD in total (students from outside EU/EEA)",4 years (240 ECTS) full-time,N/A,"Riga, Latvia",https://www.study.eu/university/tsi-transport-and-telecommunication-institute/beng-aviation-engineering
Central European University (CEU),Business Analytics,MSc,"17,308 USD in total (students from outside EU/EEA)",1 year (60 ECTS) full-time,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/msc-business-analytics
University of Szeged,Chemistry,MSc,"16,616 USD in total (students from outside EU/EEA)",N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-chemistry-11276
University of Szeged,Classical Musical Instrumental Performance,MA,"11,539 USD in total (students from outside EU/EEA)",N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-classical-musical-instrumental-performance
KTH Royal Institute of Technology,Communication Systems,Master,N/A,2 years (120 ECTS) full-time,N/A,"Stockholm, Sweden",https://www.study.eu/university/kth-royal-institute-of-technology/master-communication-systems
University of Szeged,Comparative Intellectual Property Law,LLM,N/A,N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/llm-comparative-intellectual-property-law
TSI Transport and Telecommunication Institute,Computer Science: Artificial Intelligence,Bachelor,"30,001 USD in total (students from outside EU/EEA)",4 years (240 ECTS) full-time,N/A,"Riga, Latvia",https://www.study.eu/university/tsi-transport-and-telecommunication-institute/bachelor-computer-science-artificial-intelligence
SRH University,Computer Science - Big Data and Artificial Intelligence,MSc,"29,816 USD in total (students from outside EU/EEA)",N/A,N/A,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/msc-computer-science-big-data-and-artificial-intelligence
SRH University,Computer Science - Cyber Security,MSc,"29,816 USD in total (students from outside EU/EEA)",N/A,N/A,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/msc-computer-science-cyber-security
SRH Haarlem University of Applied Sciences,Creative Media,Bachelor,"62,310 USD in total (students from outside EU/EEA)",4 years (240 ECTS) full-time,N/A,"Haarlem, Netherlands",https://www.study.eu/university/srh-haarlem-university-of-applied-sciences/bachelor-creative-media
Central European University (CEU),"Culture, Politics and Society",BA,"41,540 USD in total (students from outside EU/EEA)",3 years (180 ECTS) full-time,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ba-culture-politics-and-society
Vilnius University,Data Science,Master,"10,385 USD in total (students from outside EU/EEA)",1.5 years (90 ECTS) full-time,N/A,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/master-data-science-21857
EURECOM,Data Science and Engineering,MSc,"20,770 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Sophia Antipolis, France",https://www.study.eu/university/eurecom/msc-data-science-and-engineering
Central European University (CEU),Data Science and Society,BA,"41,540 USD in total (students from outside EU/EEA)",3 years (180 ECTS) full-time,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ba-data-science-and-society
Modul University Vienna,Data Science for Sustainability (Specializations available),MSc,"32,309 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/msc-data-science-for-sustainability-specializations-availabl
Vilnius University,Dentistry,B+M,"86,542 USD in total (students from outside EU/EEA)",5 years (300 ECTS) full-time,N/A,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/b-m-dentistry
SRH University,Digital Supply Chain Management,MSc,"29,816 USD in total (students from outside EU/EEA)",N/A,N/A,"Berlin, Germany",https://www.study.eu/university/srh-university/msc-digital-supply-chain-management
